Address,Unit,MAR,Date,Bedrooms
2441 BEVERLEY AVE,9,2119,1/1/2012,2
2450 BEVERLEY AVE,1,1515,8/15/2003,1
2450 BEVERLEY AVE,2,1969,5/12/2004,1
2450 BEVERLEY AVE,3,1220,,2
2450 BEVERLEY AVE,4,1855,7/1/1999,3
2450 BEVERLEY AVE,5,3913,9/15/2020,3
2450 BEVERLEY AVE,6,4528,7/23/2018,3
2427 6TH ST,,2800,7/1/2024,0
2429 6TH ST,,2330,2/15/2022,0
2456 BEVERLEY AVE,A,3980,6/8/2018,2
2456 BEVERLEY AVE,B,4202,7/7/2020,2
2456 BEVERLEY AVE,D,3252,2/1/2020,1
2464 BEVERLEY AVE,,731,,0
2466 BEVERLEY AVE,,0,,0
2501 BEVERLEY AVE,1,4071,10/12/2022,2
2501 BEVERLEY AVE,10,2795,8/1/2024,1
2501 BEVERLEY AVE,11,2713,7/1/2021,2
2501 BEVERLEY AVE,12,2072,9/12/2020,1
2501 BEVERLEY AVE,14,1716,,2
2501 BEVERLEY AVE,15,3413,3/1/2021,2
2501 BEVERLEY AVE,16,1610,,2
2501 BEVERLEY AVE,17,3243,12/16/2021,2
2501 BEVERLEY AVE,18,1724,12/1/2005,1
2501 BEVERLEY AVE,19,3971,12/15/2022,2
2501 BEVERLEY AVE,2,1422,,2
2501 BEVERLEY AVE,20,2182,11/9/2020,2
2501 BEVERLEY AVE,21,1350,,2
2501 BEVERLEY AVE,22,1591,6/9/2014,1
2501 BEVERLEY AVE,23,1927,5/1/2016,1
2501 BEVERLEY AVE,24,2800,4/1/2024,1
2501 BEVERLEY AVE,25,1941,6/1/2020,1
2501 BEVERLEY AVE,26,1303,,2
2501 BEVERLEY AVE,27,1008,,1
2501 BEVERLEY AVE,28,3228,2/1/2021,2
2501 BEVERLEY AVE,29,3413,10/1/2020,2
2501 BEVERLEY AVE,3,2075,3/1/2019,1
2501 BEVERLEY AVE,4,2674,5/17/2013,2
2501 BEVERLEY AVE,5,2828,7/1/2016,2
2501 BEVERLEY AVE,6,1508,,2
2501 BEVERLEY AVE,7,1677,6/15/2015,1
2501 BEVERLEY AVE,8,1008,,1
2501 BEVERLEY AVE,9,2081,5/23/2019,1
2511 BEVERLEY AVE,,4814,,4
2511 BEVERLEY AVE,1/2,0,,0
2521 BEVERLEY AVE,1,4243,10/1/2021,2
2521 BEVERLEY AVE,2,1064,,3
2521 BEVERLEY AVE,3,2456,7/1/2010,1
2521 BEVERLEY AVE,4,2452,2/15/2004,1
2521 BEVERLEY AVE,5,2908,9/15/2020,1
2522 BEVERLEY AVE,,0,,1
2522 BEVERLEY AVE,1/2,639,,0
2525 BEVERLEY AVE,1,1284,,2
2525 BEVERLEY AVE,10,2385,8/1/2020,1
2525 BEVERLEY AVE,2,1426,,2
2525 BEVERLEY AVE,3,2797,7/5/2012,2
2525 BEVERLEY AVE,4,2888,6/20/2017,2
2525 BEVERLEY AVE,5,925,,1
2525 BEVERLEY AVE,6,1284,,2
2525 BEVERLEY AVE,7,1465,,2
2525 BEVERLEY AVE,8,1412,,2
2525 BEVERLEY AVE,9,2660,2/11/2014,2
2530 BEVERLEY AVE,,0,,0
2534 BEVERLEY AVE,A,0,,0
2534 BEVERLEY AVE,B,0,,0
2534 BEVERLEY AVE,C,0,,0
2535 BEVERLEY AVE,A,2842,5/1/2022,1
2535 BEVERLEY AVE,B,884,,1
2535 BEVERLEY AVE,C,3274,1/15/2013,2
2535 BEVERLEY AVE,D,1030,,2
2535 BEVERLEY AVE,E,1368,,2
2535 BEVERLEY AVE,F,2999,2/15/2012,2
2535 BEVERLEY AVE,G,1543,3/1/1999,2
2535 BEVERLEY AVE,H,1161,,2
2535 BEVERLEY AVE,I,1226,,2
2535 BEVERLEY AVE,J,3163,6/15/2021,2
2535 BEVERLEY AVE,K,3706,10/1/2011,3
2535 BEVERLEY AVE,L,1281,,2
2535 BEVERLEY AVE,M,3055,5/15/2014,2
2545 BEVERLEY AVE,A,779,,1
2545 BEVERLEY AVE,B,812,,1
2545 BEVERLEY AVE,C,1225,,2
2545 BEVERLEY AVE,D,3100,8/15/2012,2
2545 BEVERLEY AVE,E,3383,7/22/2019,2
2545 BEVERLEY AVE,F,3395,9/1/2024,2
2545 BEVERLEY AVE,G,3208,7/1/2021,2
2545 BEVERLEY AVE,H,3144,4/1/2008,2
2545 BEVERLEY AVE,I,1071,,2
2545 BEVERLEY AVE,J,1071,,2
2545 BEVERLEY AVE,K,1326,,2
2545 BEVERLEY AVE,L,1332,,2
2545 BEVERLEY AVE,M,1127,,2
2536 BEVERLEY AVE,A,1886,,2
2536 BEVERLEY AVE,B,1064,,1
1001 PEARL ST,A,1913,4/1/2013,1
1001 PEARL ST,B,2269,8/1/2011,2
1001 PEARL ST,C,846,,1
1001 PEARL ST,D,2843,4/1/2022,2
2215 10TH ST,,3295,12/15/2024,2
2221 10TH ST,A,2375,7/6/2009,2
2221 10TH ST,B,1958,7/15/2021,1
2221 10TH ST,C,3034,8/1/2019,2
2221 10TH ST,D,1044,,1
1008 PEARL ST,,3488,,2
1008 PEARL ST,1/2,0,,1
1011 PEARL ST,A,2503,11/1/2013,1
1011 PEARL ST,B,2508,8/1/2021,1
1011 PEARL ST,C,2073,2/5/2007,1
1011 PEARL ST,D,2643,11/15/2021,1
1011 PEARL ST,E,1745,12/15/2020,0
1011 PEARL ST,F,2876,11/1/2009,2
1017 PEARL ST,A,1997,,2
1017 PEARL ST,B,2122,,2
1017 PEARL ST,C,1882,,2
1017 PEARL ST,D,2467,,2
1017 PEARL ST,E,2623,,3
1018 PEARL ST,,2900,11/1/2023,3
1020 PEARL ST,,1757,,1
1023 PEARL ST,,1583,,2
1023 PEARL ST,A,639,,1
1023 PEARL ST,B,639,,1
1028 PEARL ST,A,3028,7/1/2018,2
1028 PEARL ST,B,2893,7/10/2022,2
1028 PEARL ST,C,2400,8/1/2010,2
1028 PEARL ST,D,3124,9/1/2012,2
1033 PEARL ST,,3574,10/6/2005,3
1033 PEARL ST,A,3452,3/15/2020,2
1033 PEARL ST,B,2743,4/1/2022,1
1033 PEARL ST,C,2454,5/1/2021,1
1034 PEARL ST,A,3174,8/1/2010,2
1034 PEARL ST,B,2055,3/10/2023,1
1034 PEARL ST,C,941,,1
1034 PEARL ST,D,879,,1
1037 PEARL ST,,0,,0
1039 PEARL ST,,3215,5/15/2007,2
1042 PEARL ST,A,2305,8/1/2019,1
1042 PEARL ST,B,2330,4/10/2022,1
1042 PEARL ST,C,3378,1/1/2018,2
1042 PEARL ST,D,778,2/1/2010,2
1043 PEARL ST,2(OLD),467,,1
1043 PEARL ST,3(OLD),476,,1
1043 PEARL ST,A,702,,1
1043 PEARL ST,B,3078,10/15/2009,2
1047 PEARL ST,,2570,,3
1048 PEARL ST,,0,,0
1130 PEARL ST,,2040,,5
1310 PEARL ST,,0,,0
1310 PEARL ST,1/2,0,,0
1324 PEARL ST,,1037,,2
1407 PEARL ST,,0,,0
2223 14TH ST,,1442,,0
2223 14TH ST,A,911,,0
1411 PEARL ST,,0,,0
1411 PEARL ST,1/2,0,,0
1412 PEARL ST,1,985,,2
1412 PEARL ST,2,1762,1/26/2005,1
1412 PEARL ST,3,2467,2/15/2023,1
1412 PEARL ST,4,854,,1
1412 PEARL ST,5,2261,3/11/2023,1
1417 PEARL ST,1,3928,7/10/2018,3
1417 PEARL ST,2,3176,11/1/2022,2
1417 PEARL ST,3,1659,,3
1417 PEARL ST,4,3150,1/17/2024,3
1417 PEARL ST,5,2384,3/23/2004,3
1417 PEARL ST,6,1816,,3
1418 PEARL ST,A,2176,11/1/2020,1
1418 PEARL ST,B,2300,11/11/2024,1
1418 PEARL ST,C,2295,3/3/2024,1
1418 PEARL ST,D,2694,8/1/2001,3
1418 PEARL ST,E,2734,3/1/2019,2
1421 PEARL ST,A,2983,2/1/2017,2
1421 PEARL ST,B,2478,6/1/2003,2
1421 PEARL ST,C,2432,8/15/2013,2
1421 PEARL ST,D,2528,1/1/2001,3
1422 PEARL ST,,1498,,3
1422 PEARL ST,A,2261,8/24/2023,1
1422 PEARL ST,B,1019,,1
1422 PEARL ST,C,2095,4/20/2024,1
1422 PEARL ST,D,2195,10/1/2023,1
1426 PEARL ST,,2838,11/1/2021,0
1426 PEARL ST,1/2,1795,10/1/2024,0
1426 PEARL ST,A,2395,1/20/2024,1
1426 PEARL ST,B,956,,1
1426 PEARL ST,C,1560,6/1/2010,1
1426 PEARL ST,D,2395,10/1/2022,1
1501 PEARL ST,1,2970,2/1/2009,2
1501 PEARL ST,10,1900,9/11/2021,1
1501 PEARL ST,11,3328,8/10/2018,2
1501 PEARL ST,2,2295,5/1/2024,1
1501 PEARL ST,3,2808,9/16/2020,2
1501 PEARL ST,4,2928,1/15/2016,2
1501 PEARL ST,5,2305,3/6/2019,1
1501 PEARL ST,6,3052,7/16/2020,2
1501 PEARL ST,7,1103,,1
1501 PEARL ST,8,2771,3/21/2023,2
1501 PEARL ST,9,1174,,2
1504 PEARL ST,,1659,9/1/1999,1
1506 PEARL ST,,2138,,1
1508 PEARL ST,,1161,,1
1510 PEARL ST,,1659,9/1/1999,1
1708 PEARL ST,,0,,3
1825 PEARL ST,,3771,10/1/2022,1
1825 PEARL ST,1/2,3695,,1
1827 PEARL ST,,916,,1
1827 PEARL ST,1/2,3926,9/1/2022,3
1826 PEARL ST,A,2321,4/15/2005,1
1826 PEARL ST,B,2321,4/15/2005,1
1828 PEARL ST,,4288,1/1/2011,3
1831 PEARL ST,1,2350,10/1/2023,1
1831 PEARL ST,2,2350,9/20/2024,1
1831 PEARL ST,3,2434,4/15/2020,1
1831 PEARL ST,4,2318,8/19/2023,1
1831 PEARL ST,5,2461,4/1/2010,3
1832 PEARL ST,,1989,,4
1837 PEARL ST,,0,,0
1837 PEARL ST,A,846,,1
1837 PEARL ST,B,846,,1
1838 PEARL ST,,1498,,3
2320 20TH ST,,0,,3
2008 PEARL ST,,0,,0
2008 PEARL ST,1/2,639,,1
2009 PEARL ST,,0,,0
2118 PEARL ST,,0,,0
2202 PEARL ST,,2262,,3
2228 PEARL ST,,2551,,2
2700 PEARL ST,4,2518,,2
2700 PEARL ST,5,0,,0
2700 PEARL ST,17,2551,,2
2700 PEARL ST,40,2434,,2
2700 PEARL ST,44,2787,,2
2700 PEARL ST,47,2969,,3
2700 PEARL ST,49,2570,,2
2700 PEARL ST,65,0,,0
2713 PEARL ST,,846,,2
2715 PEARL ST,,846,,2
2805 PEARL ST,,0,,0
2807 PEARL ST,,0,,0
2807 PEARL ST,A,0,,2
2807 PEARL ST,B,384,,2
3115 PEARL ST,,2452,,2
3309 PEARL ST,,2258,,4
3318 PEARL ST,,817,,1
3318 PEARL ST,1/2,846,,1
3320 PEARL ST,,868,,1
3320 PEARL ST,1/2,1507,3/1/2004,1
3323 PEARL ST,,1779,,2
3401 PEARL ST,,3592,3/15/2009,2
3403 PEARL ST,,4702,3/5/2020,2
3408 PEARL ST,,3800,9/1/2023,2
3410 PEARL ST,,2100,1/1/2013,1
3412 PEARL ST,,2995,9/15/2023,1
3414 PEARL ST,,2328,8/1/2005,2
3414 PEARL ST,A,2330,10/1/2019,1
3416 PEARL ST,,3084,7/1/2019,2
3416 PEARL ST,A,2351,5/1/2018,1
2521 CENTINELA AVE,A,2408,8/1/2016,2
2521 CENTINELA AVE,B,1097,,2
3428 PEARL ST,A,916,,1
3428 PEARL ST,B,1037,,2
3430 PEARL ST,A,1476,6/1/2017,1
3430 PEARL ST,B,1505,6/1/2016,1
3430 PEARL ST,C,916,,1
3430 PEARL ST,D,2179,6/1/2018,1
3432 PEARL ST,A,1558,2/1/2012,1
3432 PEARL ST,B,1558,5/1/2012,1
3432 PEARL ST,C,1392,6/1/2011,1
3432 PEARL ST,D,2184,4/1/2017,1
2511 CENTINELA AVE,,2451,,3
3433 PEARL ST,A,1399,4/1/2004,1
3433 PEARL ST,B,1264,11/30/2010,1
3433 PEARL ST,C,1383,7/15/2007,1
3433 PEARL ST,D,2425,11/25/2023,1
820 PEARL ST,A,2382,1/1/2022,1
820 PEARL ST,B,2385,8/15/2020,1
820 PEARL ST,C,2532,1/22/2019,1
820 PEARL ST,D,1541,3/30/2002,1
822 PEARL ST,A,2545,7/1/2020,1
822 PEARL ST,B,1541,8/14/2002,1
822 PEARL ST,C,2577,8/4/2018,1
822 PEARL ST,D,2348,3/1/2016,1
824 PEARL ST,A,916,,1
824 PEARL ST,B,2250,11/1/2020,1
824 PEARL ST,C,2399,11/1/2020,1
824 PEARL ST,D,2532,6/1/2019,1
821 PEARL ST,A,2552,10/1/2006,2
821 PEARL ST,B,1820,9/20/2003,1
821 PEARL ST,C,3250,9/1/2024,2
821 PEARL ST,D,1073,,1
821 PEARL ST,E,2593,3/20/2022,1
827 PEARL ST,A,2750,10/19/2024,1
827 PEARL ST,B,2626,2/17/2023,1
827 PEARL ST,C,3176,5/26/2023,2
827 PEARL ST,D,3500,8/1/2024,2
827 PEARL ST,E,2600,3/1/2024,1
830 PEARL ST,,0,,0
830 PEARL ST,1/2(A),677,,1
830 PEARL ST,1/2(B),854,,1
833 PEARL ST,A,868,,1
833 PEARL ST,B,2037,4/1/2014,1
833 PEARL ST,C,1900,1/1/2007,1
833 PEARL ST,D,0,,0
833 PEARL ST,E,1232,12/1/2011,0
833 PEARL ST,F,1212,7/25/2008,0
834 PEARL ST,A,2595,3/30/2024,1
834 PEARL ST,B,5995,12/15/2023,3
834 PEARL ST,C,1927,9/7/2015,0
837 PEARL ST,,2187,,4
837 PEARL ST,1/2,1168,,2
840 PEARL ST,A,2435,1/1/2022,2
840 PEARL ST,B,1927,2/1/2016,1
840 PEARL ST,C,1798,4/15/2009,1
840 PEARL ST,D,2726,2/16/2023,1
840 PEARL ST,E,2118,1/1/2022,2
126 BICKNELL AVE,1,2642,5/1/2020,1
126 BICKNELL AVE,2,2603,11/1/2020,1
126 BICKNELL AVE,3,2531,10/1/2021,1
126 BICKNELL AVE,4,2531,11/1/2021,1
126 BICKNELL AVE,5,985,,1
126 BICKNELL AVE,6,2531,3/1/2022,1
126 BICKNELL AVE,7,2603,7/1/2021,1
126 BICKNELL AVE,8,2160,5/1/2013,1
138 BICKNELL AVE,,0,,0
202 BICKNELL AVE,1,2977,11/1/2009,2
202 BICKNELL AVE,11,500,,0
202 BICKNELL AVE,13,1820,,2
202 BICKNELL AVE,3,2266,12/7/2022,1
202 BICKNELL AVE,4,2500,8/4/2024,1
202 BICKNELL AVE,5E,1565,3/8/2009,0
202 BICKNELL AVE,5W,2055,12/15/2022,1
202 BICKNELL AVE,6,1600,9/1/2009,0
202 BICKNELL AVE,7,1995,4/5/2024,0
202 BICKNELL AVE,8,2435,6/29/2022,1
202 BICKNELL AVE,9,1909,11/20/2020,1
208 BICKNELL AVE,,2458,1/15/2013,1
210 BICKNELL AVE,,3179,4/1/2010,2
212 BICKNELL AVE,,4999,8/1/2008,2
212 BICKNELL AVE,A,1179,,0
214 BICKNELL AVE,1,5323,4/5/2018,1
214 BICKNELL AVE,2,5739,4/5/2018,1
214 BICKNELL AVE,3,6778,2/24/2018,0
214 BICKNELL AVE,4,9654,4/5/2018,2
216 BICKNELL AVE,,6484,5/22/2019,1
216 BICKNELL AVE,1/2,0,,2
217 BICKNELL AVE,1,1249,,3
217 BICKNELL AVE,2,918,5/19/2014,1
217 BICKNELL AVE,3,823,3/17/2018,1
217 BICKNELL AVE,4,1116,11/14/2024,1
217 BICKNELL AVE,5,852,,0
217 BICKNELL AVE,6,943,8/22/2017,2
223 BICKNELL AVE,1,1517,6/19/2002,1
223 BICKNELL AVE,2,1907,8/18/2004,1
223 BICKNELL AVE,3,1821,12/7/2002,2
223 BICKNELL AVE,4,1866,6/1/2002,2
223 BICKNELL AVE,5,1821,9/1/2002,2
223 BICKNELL AVE,6,1091,11/27/2019,1
223 BICKNELL AVE,7,914,9/1/2014,1
222 BICKNELL AVE,,7500,10/1/2024,2
224 BICKNELL AVE,A,3328,5/15/2018,1
224 BICKNELL AVE,B,3252,6/7/2020,1
224 BICKNELL AVE,C,2664,3/15/2013,1
224 BICKNELL AVE,D,702,,1
228 BICKNELL AVE,,6700,9/22/2023,2
229 BICKNELL AVE,101,2192,6/15/2001,1
229 BICKNELL AVE,102,1019,,2
229 BICKNELL AVE,103,2728,1/1/2016,1
229 BICKNELL AVE,104,1067,,1
229 BICKNELL AVE,105,1124,,1
229 BICKNELL AVE,106,2610,1/1/2014,1
229 BICKNELL AVE,107,890,,1
229 BICKNELL AVE,108,1512,,2
229 BICKNELL AVE,109,1019,,1
229 BICKNELL AVE,201,884,,1
229 BICKNELL AVE,202,1316,,2
229 BICKNELL AVE,203,1192,,1
229 BICKNELL AVE,204,854,,1
229 BICKNELL AVE,205,3138,9/1/2021,1
229 BICKNELL AVE,206,1046,,1
229 BICKNELL AVE,207,987,,1
229 BICKNELL AVE,208,1162,,2
229 BICKNELL AVE,209,890,,1
229 BICKNELL AVE,301,890,,1
229 BICKNELL AVE,302,1149,,2
229 BICKNELL AVE,303,1284,,1
229 BICKNELL AVE,304,1212,4/1/2000,0
229 BICKNELL AVE,305,1326,6/1/2000,0
229 BICKNELL AVE,306,1939,,3
229 BICKNELL AVE,307,3028,2/1/2018,1
229 BICKNELL AVE,308,1514,,2
229 BICKNELL AVE,309,890,,1
230 BICKNELL AVE,101,1265,,2
230 BICKNELL AVE,102,1093,,1
230 BICKNELL AVE,103,2995,8/15/2024,1
230 BICKNELL AVE,104,5200,4/1/2024,2
230 BICKNELL AVE,201,3557,8/1/2008,2
230 BICKNELL AVE,202,2995,8/25/2024,1
230 BICKNELL AVE,203,3100,10/1/2024,1
230 BICKNELL AVE,204,4800,8/1/2024,2
236 BICKNELL AVE,1,1582,10/1/2020,0
236 BICKNELL AVE,10,1963,7/15/2021,1
236 BICKNELL AVE,11,1963,10/13/2020,1
236 BICKNELL AVE,12,1668,3/15/2012,1
236 BICKNELL AVE,2,844,,0
236 BICKNELL AVE,3,1668,7/15/2012,1
236 BICKNELL AVE,4,1890,7/20/2015,1
236 BICKNELL AVE,5,1963,5/11/2021,1
236 BICKNELL AVE,6,1963,11/24/2020,1
236 BICKNELL AVE,7,2276,5/10/2022,1
236 BICKNELL AVE,8,1583,10/21/2008,1
236 BICKNELL AVE,9,1651,10/4/2012,1
238 BICKNELL AVE,A,1886,,3
238 BICKNELL AVE,B,1064,,1
238 BICKNELL AVE,C,1715,12/1/2015,1
238 BICKNELL AVE,D,2119,5/15/2012,1
243 BICKNELL AVE,A,985,,2
243 BICKNELL AVE,B,3478,3/1/2016,2
243 BICKNELL AVE,C,3413,10/24/2020,2
243 BICKNELL AVE,D,4076,7/1/2023,2
246 BICKNELL AVE,1,3406,3/1/2015,2
246 BICKNELL AVE,2,3084,8/31/2019,1
246 BICKNELL AVE,3,3076,7/1/2023,1
246 BICKNELL AVE,4,2843,6/1/2022,1
246 BICKNELL AVE,5,2445,8/19/2021,1
246 BICKNELL AVE,6,2743,6/15/2022,1
246 BICKNELL AVE,7,2926,2/1/2023,1
247 BICKNELL AVE,A,3295,5/1/2024,2
247 BICKNELL AVE,B,3338,2/15/2017,2
247 BICKNELL AVE,C,3278,2/21/2018,2
247 BICKNELL AVE,D,2324,5/1/2002,2
2112 3RD ST,A,3463,2/13/2021,2
2112 3RD ST,B,3384,5/16/2006,2
254 BICKNELL AVE,,2112,,2
2103 3RD ST,1,1064,,2
2103 3RD ST,10,1030,,1
2103 3RD ST,2,1310,3/1/1999,1
2103 3RD ST,3,902,,1
2103 3RD ST,4,1019,,1
2103 3RD ST,5,1019,,1
2103 3RD ST,6,2733,3/1/2006,2
2103 3RD ST,7,844,,0
2103 3RD ST,7A,928,,1
2103 3RD ST,9,844,,0
302 BICKNELL AVE,11,2124,3/1/2017,1
302 BICKNELL AVE,12,1874,11/1/2016,0
302 BICKNELL AVE,12B,1208,2/1/1999,0
302 BICKNELL AVE,14,1948,6/15/2014,1
302 BICKNELL AVE,15,2841,7/1/2006,1
302 BICKNELL AVE,8,0,,0
315 BICKNELL AVE,,956,,4
315 BICKNELL AVE,1/2,0,,0
323 BICKNELL AVE,101,1885,6/1/2002,1
323 BICKNELL AVE,102,2467,4/1/2023,1
323 BICKNELL AVE,103,1915,7/25/2012,1
323 BICKNELL AVE,104,2638,4/27/2022,1
323 BICKNELL AVE,105,2089,8/10/2007,1
323 BICKNELL AVE,106,3208,12/5/2020,2
323 BICKNELL AVE,207,2467,12/11/2017,1
323 BICKNELL AVE,208,956,,1
323 BICKNELL AVE,209,956,,1
323 BICKNELL AVE,210,2176,1/1/2021,1
323 BICKNELL AVE,211,2518,3/1/2018,1
707 IDAHO AVE,101,1359,,2
707 IDAHO AVE,102,2763,3/1/2021,1
707 IDAHO AVE,103,3150,7/28/2024,1
707 IDAHO AVE,104,2628,8/15/2018,0
707 IDAHO AVE,105,2224,3/1/2022,0
707 IDAHO AVE,106,2763,7/1/2021,1
707 IDAHO AVE,107,1332,,1
707 IDAHO AVE,108,1456,,2
707 IDAHO AVE,109,3743,9/1/2021,2
707 IDAHO AVE,110,3176,5/26/2023,1
707 IDAHO AVE,111,2928,4/13/2018,1
707 IDAHO AVE,112,3152,12/19/2019,1
707 IDAHO AVE,114,2950,6/15/2024,1
707 IDAHO AVE,116,2893,7/1/2022,1
707 IDAHO AVE,117,1591,,2
707 IDAHO AVE,201,3743,12/1/2021,2
707 IDAHO AVE,202,3200,9/1/2023,1
707 IDAHO AVE,203,2509,6/15/2005,1
707 IDAHO AVE,204,873,,0
707 IDAHO AVE,205,2291,8/1/2021,0
707 IDAHO AVE,206,3176,3/15/2023,1
707 IDAHO AVE,207,1364,,1
707 IDAHO AVE,208,1275,,2
707 IDAHO AVE,209,3429,8/10/2008,2
707 IDAHO AVE,210,3276,8/1/2023,1
707 IDAHO AVE,211,3013,5/15/2021,1
707 IDAHO AVE,212,3271,12/18/2022,1
707 IDAHO AVE,214,3276,7/30/2023,1
707 IDAHO AVE,215,1044,,1
707 IDAHO AVE,216,3084,8/16/2019,1
707 IDAHO AVE,217,3075,2/15/2012,2
707 IDAHO AVE,301,4100,9/15/2024,2
707 IDAHO AVE,302,2843,12/1/2021,1
707 IDAHO AVE,303,3276,3/15/2023,1
707 IDAHO AVE,304,2600,5/15/2024,0
707 IDAHO AVE,305,2467,5/15/2023,0
707 IDAHO AVE,306,3276,12/1/2022,1
707 IDAHO AVE,307,3200,1/1/2024,1
707 IDAHO AVE,308,3995,7/15/2024,2
707 IDAHO AVE,309,1514,,2
707 IDAHO AVE,310,1195,,1
707 IDAHO AVE,311,1146,,1
707 IDAHO AVE,312,3949,7/15/2013,3
707 IDAHO AVE,315,1197,,1
707 IDAHO AVE,316,3195,8/15/2024,1
707 IDAHO AVE,317,3199,8/1/2013,2
1025 IDAHO AVE,1,6076,8/27/2023,3
1025 IDAHO AVE,10,2971,8/19/2023,1
1025 IDAHO AVE,11,3675,8/1/2024,2
1025 IDAHO AVE,2,3076,3/1/2023,1
1025 IDAHO AVE,3,2628,6/15/2021,1
1025 IDAHO AVE,4,2441,7/1/2015,1
1025 IDAHO AVE,5,2678,9/6/2017,1
1025 IDAHO AVE,6,3518,1/1/2022,2
1025 IDAHO AVE,7,2216,5/25/2011,1
1025 IDAHO AVE,8,2658,4/1/2021,1
1025 IDAHO AVE,9,2587,7/28/2021,1
1030 IDAHO AVE,1,3138,5/5/2022,1
1030 IDAHO AVE,10,1697,3/1/1999,1
1030 IDAHO AVE,11,2938,10/15/2021,1
1030 IDAHO AVE,2,2779,9/5/2018,1
1030 IDAHO AVE,3,2808,4/15/2021,1
1030 IDAHO AVE,4,2938,10/1/2021,1
1030 IDAHO AVE,5,3138,5/13/2022,1
1030 IDAHO AVE,6,2802,11/1/2019,1
1030 IDAHO AVE,7,2976,11/15/2022,1
1030 IDAHO AVE,8,1741,1/1/2012,1
1030 IDAHO AVE,9,2813,4/1/2021,1
1102 IDAHO AVE,A,2550,2/17/1999,2
1102 IDAHO AVE,B,3771,10/1/2022,2
1102 IDAHO AVE,C,2643,10/1/2021,2
1102 IDAHO AVE,D,3638,9/1/2021,2
1102 IDAHO AVE,E,1539,,2
1102 IDAHO AVE,F,2813,3/1/2021,2
1102 IDAHO AVE,G,3971,10/22/2022,2
1105 IDAHO AVE,101,0,,3
1105 IDAHO AVE,102,1583,,2
1105 IDAHO AVE,103,1316,,1
1105 IDAHO AVE,104,1316,,1
1105 IDAHO AVE,105,1522,,2
1105 IDAHO AVE,206,1886,,0
1105 IDAHO AVE,207,1593,,2
1105 IDAHO AVE,208,1280,,1
1105 IDAHO AVE,209,1227,,2
1105 IDAHO AVE,210,1498,,2
1201 IDAHO AVE,1,4038,12/1/2021,2
1201 IDAHO AVE,10,4121,1/15/2023,2
